Balanszijde;Instrument;Stroomtype;LooptijdOorspronkelijk;RenteVastPeriode;Periode ;Rente
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-09;2.58
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-10;2.45
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-11;2.98
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-12;2.28
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-01;2.22
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-02;2.14
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-03;2.12
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-04;2.08
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-05;2.09
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-06;2.06
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-07;2.04
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-08;2.05
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-09;2.04
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-10;2.02
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-11;1.99
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2020-12;1.99
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2021-01;1.93
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2021-02;1.89
